id,first_name,last_name,username,password,role,age
1,Павел,Никифоров,pnikifirov,gZvptL,member,21
2,Альбина,Игнатьева,abiba_1341,4fVqL2,moderator,24
3,Иван,Сысоев,vanya777,o535pj,admin,29
4,Марина,Беркутова,orlanfree,d49rSO,moderator,19
5,Галина,Иванова,galina_ivanova,wCqlVE,member,41
6,Петр,Бойченко,petr_bo,xuR2jf,member,37
7,Никита,,nikitapro,gzP4vR,member,26
8,Виолетта,Петушок,riverna,zo0rj6,member,24
9,Гульнара,Ибрагимова,gulnara321,daMocL,moderator,22
10,Борис,Зайка,dragon84,sasha123456,member,35
